Age,Age Group,Age Group Description,Gender,Purchase Frequency,Purchase Categories,Recommendation Purchase Status,Browsing Frequency,Product Search Method,Search Result Exploration,Customer Reviews Importance,Add to Cart Browsing,Cart Completion Frequency,Cart Abandonment Factors,Saveforlater Frequency,Review Left,Review Reliability,Review Helpfulness,Personalized Recommendation Frequency ,Recommendation Helpfulness,Rating Accuracy ,Shopping Satisfaction,Service Appreciation,Improvement Areas
24,18 - 24,Young Adults,Male,Once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Sometimes,Few times a week,Keyword,Multiple pages,Extremely important,Yes,Often,Others,Sometimes,Yes,Moderately,Yes,Often,Yes,Mostly accurate,Satisfied,Competitive prices,Product quality and accuracy
24,18 - 24,Young Adults,Female,Few times a month,Others,Yes,Few times a week,Keyword,Multiple pages,Extremely important,Yes,Often,Changed my mind or no longer need the item,Sometimes,No,Moderately,Yes,Often,Yes,Moderately accurate,Satisfied,Wide product selection,Customer service responsiveness
26,25 - 34,Young Professionals,Female,Less than once a month,Others,No,Few times a month,Keyword,Multiple pages,Extremely important,Yes,Sometimes,High shipping costs,Often,Yes,Moderately,Yes,Very often,Yes,Mostly accurate,Most satisfied,Product recommendations,Shipping speed and reliability
25,25 - 34,Young Professionals,Female,Less than once a month,Clothing and Fashion,Sometimes,Rarely,Categories,First page,Not important,Yes,Sometimes,Changed my mind or no longer need the item,Sometimes,Yes,Moderately,Yes,Seldom,Sometimes,Slightly accurate,Neutral,Wide product selection,Shipping speed and reliability
26,25 - 34,Young Professionals,Male,Few times a month,Clothing and Fashion;Others,No,Few times a week,Keyword,Multiple pages,Slightly important,Yes,Sometimes,Found a better price elsewhere,Never,No,Occasionally,Sometimes,Sometimes,No,Moderately accurate,Neutral,Product recommendations,Reducing packaging waste
29,25 - 34,Young Professionals,Male,Less than once a month,Others,No,Rarely,Keyword,First page,Slightly important,No,Sometimes,Found a better price elsewhere,Rarely,No,Moderately,Yes,Sometimes,Sometimes,Slightly accurate,Dissatisfied,Wide product selection,Product quality and accuracy
23,18 - 24,Young Adults,Female,Once a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Yes,Few times a month,Keyword,Multiple pages,Very important,Yes,Often,High shipping costs,Often,Yes,Moderately,Yes,Often,Yes,Moderately accurate,Dissatisfied,Competitive prices,Reducing packaging waste
30,25 - 34,Young Professionals,Male,Multiple times a week,Clothing and Fashion;Home and Kitchen,Yes,Few times a week,Keyword,Multiple pages,Moderately important ,Yes,Sometimes,Found a better price elsewhere,Sometimes,Yes,Moderately,Yes,Very often,Yes,Highly accurate,Satisfied,Competitive prices,Customer service responsiveness
23,18 - 24,Young Adults,Female,Less than once a month,Beauty and Personal Care;Home and Kitchen,No,Multiple times a day,Categories,Multiple pages,Extremely important,Yes,Sometimes,Found a better price elsewhere,Often,No,Heavily,Yes,Sometimes,Sometimes,Moderately accurate,Neutral,Wide product selection,Customer service responsiveness
21,18 - 24,Young Adults,Female,Less than once a month,Clothing and Fashion,No,Rarely,Keyword,Multiple pages,Extremely important,Yes,Never,High shipping costs,Never,No,Heavily,Yes,Seldom,Sometimes,Moderately accurate,Neutral,Wide product selection,Reducing packaging waste
23,18 - 24,Young Adults,Female,Once a month,Beauty and Personal Care;Home and Kitchen,No,Few times a week,Categories,Multiple pages,Extremely important,Yes,Sometimes,Changed my mind or no longer need the item,Often,Yes,Moderately,No,Sometimes,Yes,Mostly accurate,Satisfied,Product recommendations,Product quality and accuracy
21,18 - 24,Young Adults,Female,Once a month,Clothing and Fashion,Sometimes,Few times a week,Categories,Multiple pages,Moderately important ,Yes,Always,Changed my mind or no longer need the item,Often,No,Moderately,Sometimes,Sometimes,Sometimes,Moderately accurate,Neutral,User-friendly website/app interface,Customer service responsiveness
23,18 - 24,Young Adults,Female,Less than once a month,Clothing and Fashion;Others,No,Few times a month,Keyword,Multiple pages,Very important,Yes,Often,Changed my mind or no longer need the item,Rarely,No,Moderately,Yes,Often,Sometimes,Mostly accurate,Most satisfied,Wide product selection,Shipping speed and reliability
27,25 - 34,Young Professionals,Male,Once a month,Others,Sometimes,Few times a month,Keyword,Multiple pages,Moderately important ,Yes,Sometimes,Changed my mind or no longer need the item,Often,Yes,Moderately,Yes,Sometimes,Sometimes,Moderately accurate,Most satisfied,Wide product selection,Product quality and accuracy
38,35 - 44,Established Professionals,Female,Once a month,Beauty and Personal Care;Home and Kitchen,No,Few times a month,Keyword,Multiple pages,Very important,Yes,Often,Changed my mind or no longer need the item,Never,Yes,Moderately,Sometimes,Seldom,Sometimes,Slightly accurate,Satisfied,Wide product selection,Product quality and accuracy
23,18 - 24,Young Adults,Female,Less than once a month,Beauty and Personal Care;Clothing and Fashion,No,Rarely,Keyword,First page,Extremely important,Yes,Sometimes,Found a better price elsewhere,Never,No,Heavily,Yes,Sometimes,No,Mostly accurate,Satisfied,User-friendly website/app interface,Product quality and accuracy
38,35 - 44,Established Professionals,Female,Less than once a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Few times a month,Categories,First page,Moderately important ,No,Sometimes,Found a better price elsewhere,Rarely,No,Moderately,No,Seldom,No,Slightly accurate,Satisfied,Product recommendations,Shipping speed and reliability
23,18 - 24,Young Adults,Male,Few times a month,Others,No,Few times a week,Categories,Multiple pages,Moderately important ,No,Rarely,Found a better price elsewhere,Sometimes,Yes,Heavily,Sometimes,Often,Yes,Moderately accurate,Neutral,Competitive prices,Reducing packaging waste
24,18 - 24,Young Adults,Male,Once a week,Clothing and Fashion;Others,No,Few times a week,Categories,First page,Very important,No,Often,Found a better price elsewhere,Often,Yes,Occasionally,No,Sometimes,No,Moderately accurate,Satisfied,Product recommendations,Customer service responsiveness
25,25 - 34,Young Professionals,Female,Once a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Yes,Few times a week,Filter,First page,Very important,No,Often,Found a better price elsewhere,Sometimes,Yes,Heavily,No,Often,Yes,Moderately accurate,Satisfied,Product recommendations,Customer service responsiveness
26,25 - 34,Young Professionals,Male,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;Others,Yes,Few times a week,Keyword,Multiple pages,Extremely important,Yes,Often,Found a better price elsewhere,Sometimes,No,Heavily,Yes,Very often,Yes,Mostly accurate,Most satisfied,Wide product selection,Customer service responsiveness
27,25 - 34,Young Professionals,Male,Once a week,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;Others,No,Few times a month,Filter,First page,Moderately important ,No,Sometimes,Found a better price elsewhere,Sometimes,Yes,Occasionally,No,Sometimes,No,Moderately accurate,Satisfied,Competitive prices,Product quality and accuracy
21,18 - 24,Young Adults,Female,Once a month,Beauty and Personal Care;Clothing and Fashion,Yes,Few times a week,Keyword,Multiple pages,Extremely important,Yes,Sometimes,Changed my mind or no longer need the item,Sometimes,No,Heavily,Yes,Very often,Sometimes,Moderately accurate,Most satisfied,Competitive prices,Product quality and accuracy
36,35 - 44,Established Professionals,Male,Few times a month,Beauty and Personal Care;Home and Kitchen,No,Few times a month,Categories,First page,Slightly important,Maybe,Sometimes,Changed my mind or no longer need the item,Often,Yes,Occasionally,No,Often,Yes,Mostly accurate,Neutral,Product recommendations,Customer service responsiveness
44,35 - 44,Established Professionals,Female,Few times a month,Beauty and Personal Care,No,Multiple times a day,Filter,First page,Very important,No,Often,High shipping costs,Sometimes,No,Occasionally,No,Often,No,Mostly accurate,Satisfied,Competitive prices,Customer service responsiveness
32,25 - 34,Young Professionals,Female,Once a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;Others,Yes,Multiple times a day,Keyword,Multiple pages,Extremely important,Yes,Often,Found a better price elsewhere,Always,Yes,Heavily,Yes,Very often,Yes,Highly accurate,Most satisfied,User-friendly website/app interface,Customer service responsiveness
30,25 - 34,Young Professionals,Male,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;Home and Kitchen,No,Few times a month,Filter,Multiple pages,Moderately important ,Yes,Always,High shipping costs,Often,Yes,Moderately,Yes,Seldom,No,Moderately accurate,Satisfied,Competitive prices,Product quality and accuracy
25,25 - 34,Young Professionals,Male,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;Others,No,Rarely,Keyword,Multiple pages,Extremely important,Yes,Sometimes,Changed my mind or no longer need the item,Always,No,Heavily,Yes,Very often,Yes,Highly accurate,Most satisfied,Wide product selection,Customer service responsiveness
20,18 - 24,Young Adults,Female,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Yes,Multiple times a day,Keyword,Multiple pages,Extremely important,Yes,Always,High shipping costs,Always,Yes,Heavily,Yes,Seldom,Yes,Highly accurate,Most satisfied,Wide product selection,Product quality and accuracy
35,35 - 44,Established Professionals,Female,Once a week,Beauty and Personal Care,No,Few times a month,Categories,First page,Moderately important ,No,Rarely,Changed my mind or no longer need the item,Sometimes,No,Occasionally,No,Often,Sometimes,Slightly accurate,Neutral,Product recommendations,Product quality and accuracy
42,35 - 44,Established Professionals,Male,Less than once a month,Groceries and Gourmet Food;Home and Kitchen;Others,Yes,Few times a month,Keyword,Multiple pages,Extremely important,Yes,Often,Found a better price elsewhere,Always,Yes,Heavily,Yes,Very often,Yes,Highly accurate,Most satisfied,Wide product selection,Product quality and accuracy
37,35 - 44,Established Professionals,Female,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Few times a month,Categories,Multiple pages,Very important,No,Often,Found a better price elsewhere,Often,No,Moderately,No,Often,No,Highly accurate,Most satisfied,Product recommendations,Reducing packaging waste
28,25 - 34,Young Professionals,Female,Multiple times a week,Beauty and Personal Care;Clothing and Fashion;Others,Yes,Multiple times a day,Keyword,Multiple pages,Extremely important,Yes,Often,Changed my mind or no longer need the item,Always,Yes,Heavily,Yes,Sometimes,Sometimes,Mostly accurate,Most satisfied,Wide product selection,Customer service responsiveness
27,25 - 34,Young Professionals,Male,Once a week,Beauty and Personal Care;Home and Kitchen,No,Few times a week,Categories,First page,Very important,No,Often,Changed my mind or no longer need the item,Often,No,Heavily,Sometimes,Sometimes,No,Mostly accurate,Satisfied,Competitive prices,Customer service responsiveness
45,45 - 54,Midlife Adults,Female,Once a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Multiple times a day,Categories,Multiple pages,Very important,No,Often,Changed my mind or no longer need the item,Often,No,Moderately,No,Often,No,Mostly accurate,Satisfied,Competitive prices,Product quality and accuracy
35,35 - 44,Established Professionals,Male,Less than once a month,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen;Others,Yes,Rarely,Keyword,First page,Extremely important,Yes,Rarely,High shipping costs,Always,Yes,Heavily,Yes,Very often,Yes,Highly accurate,Most satisfied,Competitive prices,Shipping speed and reliability
50,45 - 54,Midlife Adults,Female,Multiple times a week,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Few times a week,Filter,First page,Moderately important ,Yes,Often,Changed my mind or no longer need the item,Rarely,Yes,Moderately,No,Often,No,Moderately accurate,Satisfied,Competitive prices,Reducing packaging waste
54,45 - 54,Midlife Adults,Female,Few times a month,Beauty and Personal Care;Others,No,Few times a week,Keyword,First page,Moderately important ,No,Rarely,Changed my mind or no longer need the item,Sometimes,No,Moderately,Yes,Often,No,Moderately accurate,Satisfied,Competitive prices,Reducing packaging waste
29,25 - 34,Young Professionals,Female,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;Others,Yes,Multiple times a day,Keyword,Multiple pages,Extremely important,Yes,Sometimes,Changed my mind or no longer need the item,Always,Yes,Heavily,Yes,Very often,Sometimes,Highly accurate,Most satisfied,Competitive prices,Product quality and accuracy
63,>= 55,Seniors,Male,Less than once a month,Groceries and Gourmet Food;Home and Kitchen;Others,No,Rarely,Keyword,Multiple pages,Extremely important,Yes,Sometimes,Found a better price elsewhere,Sometimes,No,Heavily,Yes,Often,Sometimes,Moderately accurate,Satisfied,Competitive prices,Customer service responsiveness
24,18 - 24,Young Adults,Male,Few times a month,Beauty and Personal Care;Clothing and Fashion,Sometimes,Few times a week,Keyword,Multiple pages,Extremely important,Yes,Sometimes,Found a better price elsewhere,Sometimes,No,Heavily,Sometimes,Often,Sometimes,Mostly accurate,Most satisfied,Competitive prices,Product quality and accuracy
23,18 - 24,Young Adults,Female,Less than once a month,Beauty and Personal Care,No,Rarely,Keyword,Multiple pages,Extremely important,Yes,Rarely,High shipping costs,Often,Yes,Heavily,Yes,Very often,Yes,Highly accurate,Most satisfied,Wide product selection,Shipping speed and reliability
26,25 - 34,Young Professionals,Female,Few times a month,Beauty and Personal Care;Clothing and Fashion,Yes,Few times a week,Categories,Multiple pages,Extremely important,Yes,Always,High shipping costs,Always,Yes,Occasionally,Yes,Rarely,Yes,Highly accurate,Most satisfied,Wide product selection,Product quality and accuracy
29,25 - 34,Young Professionals,Male,Multiple times a week,Beauty and Personal Care;Clothing and Fashion,No,Multiple times a day,Filter,Multiple pages,Not important,Yes,Sometimes,Found a better price elsewhere,Always,No,Rarely,Yes,Sometimes,Yes,Highly accurate,Most satisfied,Competitive prices,Shipping speed and reliability
24,18 - 24,Young Adults,Male,Less than once a month,Others,No,Few times a month,Keyword,Multiple pages,Slightly important,Yes,Sometimes,Found a better price elsewhere,Sometimes,No,Occasionally,Yes,Sometimes,Yes,Slightly accurate,Least satisfied,Wide product selection,No problems with Amazon
33,25 - 34,Young Professionals,Female,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care,No,Few times a week,Filter,Multiple pages,Very important,No,Sometimes,Found a better price elsewhere,Often,No,Occasionally,No,Often,No,Mostly accurate,Satisfied,Competitive prices,Reducing packaging waste
33,25 - 34,Young Professionals,Female,Once a week,Beauty and Personal Care;Others,No,Few times a week,Filter,First page,Not important,Maybe,Never,Changed my mind or no longer need the item,Rarely,No,Occasionally,No,Often,Yes,Highly accurate,Most satisfied,Product recommendations,Shipping speed and reliability
37,35 - 44,Established Professionals,Male,Once a week,Beauty and Personal Care;Clothing and Fashion,No,Few times a month,Categories,First page,Moderately important ,No,Sometimes,Found a better price elsewhere,Always,No,Occasionally,No,Often,No,Moderately accurate,Dissatisfied,Product recommendations,Customer service responsiveness
60,>= 55,Seniors,Female,Once a week,Beauty and Personal Care;Clothing and Fashion,Yes,Multiple times a day,Keyword,First page,Very important,No,Sometimes,Changed my mind or no longer need the item,Sometimes,No,Occasionally,No,Often,No,Mostly accurate,Neutral,Product recommendations,Customer service responsiveness
18,18 - 24,Young Adults,Female,Once a week,Groceries and Gourmet Food;Beauty and Personal Care,No,Few times a month,Categories,First page,Moderately important ,Maybe,Sometimes,Found a better price elsewhere,Often,No,Rarely,No,Seldom,No,Slightly accurate,Dissatisfied,Competitive prices,Reducing packaging waste
50,45 - 54,Midlife Adults,Male,Less than once a month,Clothing and Fashion;Home and Kitchen;Others,No,Few times a week,Categories,Multiple pages,Moderately important ,No,Never,Others,Rarely,No,Occasionally,No,Seldom,No,Slightly accurate,Dissatisfied,Product recommendations,Shipping speed and reliability
19,18 - 24,Young Adults,Female,Few times a month,Beauty and Personal Care;Clothing and Fashion,No,Few times a month,Categories,First page,Moderately important ,No,Often,Found a better price elsewhere,Sometimes,No,Occasionally,No,Often,No,Moderately accurate,Satisfied,Wide product selection,Customer service responsiveness
18,18 - 24,Young Adults,Female,Once a month,Beauty and Personal Care;Clothing and Fashion;Others,No,Rarely,Others,First page,Slightly important,Maybe,Rarely,High shipping costs,Always,Yes,Moderately,No,Very often,No,Mostly accurate,Most satisfied,Wide product selection,Product quality and accuracy
17,< 18,Minors,Male,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion,No,Few times a week,Categories,Multiple pages,Moderately important ,Maybe,Never,Changed my mind or no longer need the item,Always,Yes,Moderately,No,Often,No,Mostly accurate,Satisfied,Wide product selection,Customer service responsiveness
27,25 - 34,Young Professionals,Female,Once a month,Beauty and Personal Care,No,Few times a week,Keyword,Multiple pages,Extremely important,Yes,Often,Changed my mind or no longer need the item,Sometimes,Yes,Heavily,Yes,Sometimes,Sometimes,Moderately accurate,Satisfied,Wide product selection,Shipping speed and reliability
23,18 - 24,Young Adults,Male,Less than once a month,Beauty and Personal Care;Home and Kitchen;Others,No,Rarely,Filter,Multiple pages,Extremely important,No,Often,Changed my mind or no longer need the item,Never,No,Heavily,Yes,Rarely,No,Not accurate,Satisfied,Wide product selection,Product quality and accuracy
35,35 - 44,Established Professionals,Female,Few times a month,Beauty and Personal Care,No,Few times a month,Categories,First page,Moderately important ,Maybe,Rarely,Found a better price elsewhere,Often,Yes,Occasionally,No,Often,No,Slightly accurate,Satisfied,Product recommendations,Reducing packaging waste
57,>= 55,Seniors,Female,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;Others,No,Few times a week,Filter,Multiple pages,Very important,No,Always,Changed my mind or no longer need the item,Rarely,No,Occasionally,Yes,Sometimes,Sometimes,Moderately accurate,Most satisfied,Product recommendations,Reducing packaging waste
54,45 - 54,Midlife Adults,Male,Few times a month,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen,No,Few times a week,Filter,First page,Moderately important ,No,Rarely,Found a better price elsewhere,Sometimes,Yes,Moderately,No,Sometimes,No,Mostly accurate,Satisfied,Competitive prices,Product quality and accuracy
46,45 - 54,Midlife Adults,Male,Once a week,Beauty and Personal Care,Sometimes,Rarely,Keyword,Multiple pages,Very important,Yes,Often,Found a better price elsewhere,Often,Yes,Heavily,No,Often,No,Mostly accurate,Satisfied,Competitive prices,Customer service responsiveness
26,25 - 34,Young Professionals,Female,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;Others,Sometimes,Few times a week,Keyword,Multiple pages,Extremely important,Maybe,Often,Others,Often,Yes,Moderately,Yes,Sometimes,Sometimes,Moderately accurate,Satisfied,Competitive prices,Add more familiar brands to the list
24,18 - 24,Young Adults,Male,Once a month,Others,No,Few times a month,Filter,Multiple pages,Extremely important,Yes,Often,Changed my mind or no longer need the item,Often,Yes,Heavily,Yes,Very often,Yes,Moderately accurate,Satisfied,User-friendly website/app interface,Shipping speed and reliability
26,25 - 34,Young Professionals,Female,Once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion,No,Few times a week,Categories,Multiple pages,Extremely important,Yes,Often,Changed my mind or no longer need the item,Never,Yes,Heavily,Yes,Often,Yes,Highly accurate,Most satisfied,User-friendly website/app interface,Shipping speed and reliability
27,25 - 34,Young Professionals,Male,Once a month,Clothing and Fashion,No,Few times a month,Categories,Multiple pages,Not important,Maybe,Often,High shipping costs,Never,Yes,Heavily,Yes,Sometimes,Yes,Highly accurate,Satisfied,Wide product selection,Shipping speed and reliability
22,18 - 24,Young Adults,Female,Few times a month,Beauty and Personal Care,Yes,Multiple times a day,Filter,Multiple pages,Moderately important ,Maybe,Often,Found a better price elsewhere,Always,Yes,Moderately,Sometimes,Very often,Sometimes,Moderately accurate,Neutral,Competitive prices,Customer service responsiveness
24,18 - 24,Young Adults,Male,Few times a month,Beauty and Personal Care,Yes,Few times a week,Categories,Multiple pages,Moderately important ,Yes,Sometimes,Found a better price elsewhere,Sometimes,No,Occasionally,Yes,Sometimes,Yes,Moderately accurate,Neutral,Product recommendations,Customer service responsiveness
25,25 - 34,Young Professionals,Male,Multiple times a week,Beauty and Personal Care,No,Few times a week,Filter,Multiple pages,Moderately important ,Maybe,Often,Found a better price elsewhere,Often,No,Occasionally,Sometimes,Often,No,Moderately accurate,Neutral,Competitive prices,Reducing packaging waste
27,25 - 34,Young Professionals,Male,Once a month,Others,No,Few times a month,Keyword,Multiple pages,Extremely important,Yes,Often,High shipping costs,Never,Yes,Heavily,Yes,Sometimes,Yes,Highly accurate,Most satisfied,User-friendly website/app interface,Shipping speed and reliability
23,18 - 24,Young Adults,Female,Less than once a month,Clothing and Fashion;Home and Kitchen,No,Few times a month,Keyword,First page,Extremely important,Yes,Sometimes,Found a better price elsewhere,Sometimes,No,Moderately,Yes,Often,Yes,Mostly accurate,Satisfied,Competitive prices,Shipping speed and reliability
24,18 - 24,Young Adults,Male,Less than once a month,Clothing and Fashion,No,Few times a month,Categories,First page,Extremely important,Maybe,Sometimes,High shipping costs,Never,No,Heavily,Yes,Sometimes,Yes,Moderately accurate,Neutral,User-friendly website/app interface,Product quality and accuracy
24,18 - 24,Young Adults,Female,Less than once a month,Beauty and Personal Care,No,Rarely,Categories,First page,Slightly important,Yes,Sometimes,Changed my mind or no longer need the item,Never,No,Moderately,Yes,Sometimes,No,Moderately accurate,Neutral,Competitive prices,Product quality and accuracy
23,18 - 24,Young Adults,Female,Few times a month,Clothing and Fashion,No,Few times a month,Filter,Multiple pages,Extremely important,Yes,Sometimes,Found a better price elsewhere,Sometimes,No,Heavily,Sometimes,Seldom,Yes,Moderately accurate,Dissatisfied,User-friendly website/app interface,Product quality and accuracy
23,18 - 24,Young Adults,Male,Once a month,Clothing and Fashion;Others,No,Few times a month,Keyword,Multiple pages,Extremely important,Yes,Sometimes,Found a better price elsewhere,Often,Yes,Heavily,Yes,Sometimes,No,Moderately accurate,Neutral,Competitive prices,User interface
25,25 - 34,Young Professionals,Female,Once a week,Groceries and Gourmet Food,Yes,Multiple times a day,Filter,Multiple pages,Moderately important ,Yes,Sometimes,Changed my mind or no longer need the item,Often,No,Moderately,Yes,Sometimes,Yes,Moderately accurate,Neutral,Product recommendations,Reducing packaging waste
21,18 - 24,Young Adults,Male,Once a week,Groceries and Gourmet Food,No,Few times a week,Categories,First page,Not important,Maybe,Sometimes,High shipping costs,Rarely,Yes,Occasionally,No,Sometimes,No,Moderately accurate,Neutral,User-friendly website/app interface,Customer service responsiveness
36,35 - 44,Established Professionals,Female,Few times a month,Groceries and Gourmet Food,No,Few times a month,Keyword,Multiple pages,Very important,No,Often,Found a better price elsewhere,Sometimes,Yes,Occasionally,No,Sometimes,Sometimes,Moderately accurate,Dissatisfied,Wide product selection,Customer service responsiveness
23,18 - 24,Young Adults,Female,Multiple times a week,Beauty and Personal Care,Yes,Few times a week,Filter,Multiple pages,Moderately important ,No,Often,Found a better price elsewhere,Sometimes,Yes,Occasionally,Yes,Sometimes,Sometimes,Moderately accurate,Neutral,Competitive prices,Customer service responsiveness
23,18 - 24,Young Adults,Female,Few times a month,Clothing and Fashion,Sometimes,Few times a month,Filter,Multiple pages,Moderately important ,No,Rarely,Found a better price elsewhere,Sometimes,Yes,Occasionally,Yes,Sometimes,No,Moderately accurate,Neutral,Product recommendations,Customer service responsiveness
21,18 - 24,Young Adults,Female,Once a week,Beauty and Personal Care,Yes,Few times a week,Filter,Multiple pages,Moderately important ,Maybe,Sometimes,Found a better price elsewhere,Sometimes,No,Moderately,Yes,Sometimes,No,Moderately accurate,Neutral,Competitive prices,Customer service responsiveness
30,25 - 34,Young Professionals,Female,Few times a month,Beauty and Personal Care,Yes,Few times a week,Filter,Multiple pages,Moderately important ,Maybe,Sometimes,Found a better price elsewhere,Never,Yes,Moderately,Sometimes,Sometimes,Sometimes,Moderately accurate,Neutral,Product recommendations,Customer service responsiveness
37,35 - 44,Established Professionals,Female,Once a month,Clothing and Fashion,Sometimes,Few times a month,Categories,Multiple pages,Extremely important,Yes,Sometimes,Changed my mind or no longer need the item,Often,No,Heavily,Yes,Seldom,Sometimes,Mostly accurate,Neutral,Wide product selection,Product quality and accuracy
26,25 - 34,Young Professionals,Female,Once a month,Beauty and Personal Care,Yes,Few times a week,Categories,Multiple pages,Moderately important ,Yes,Sometimes,Changed my mind or no longer need the item,Often,No,Occasionally,Yes,Often,Yes,Moderately accurate,Neutral,Competitive prices,Shipping speed and reliability
46,45 - 54,Midlife Adults,Female,Once a month,Others,Sometimes,Rarely,Others,First page,Not important,Yes,Always,High shipping costs,Always,Yes,Rarely,Sometimes,Very often,Yes,Highly accurate,Most satisfied,User-friendly website/app interface,Shipping speed and reliability
36,35 - 44,Established Professionals,Female,Less than once a month,Others,No,Rarely,Others,Multiple pages,Slightly important,No,Never,Others,Never,No,Never,Sometimes,Seldom,Yes,Slightly accurate,Dissatisfied,User-friendly website/app interface,Product quality and accuracy
40,35 - 44,Established Professionals,Female,Less than once a month,Home and Kitchen,Sometimes,Rarely,Categories,Multiple pages,Moderately important ,Yes,Sometimes,Changed my mind or no longer need the item,Rarely,No,Moderately,Yes,Sometimes,Yes,Mostly accurate,Satisfied,Wide product selection,Customer service responsiveness
41,35 - 44,Established Professionals,Male,Less than once a month,Clothing and Fashion,Sometimes,Few times a month,Keyword,Multiple pages,Extremely important,Yes,Always,Found a better price elsewhere,Rarely,Yes,Rarely,Yes,Rarely,Yes,Mostly accurate,Neutral,Wide product selection,Shipping speed and reliability
34,25 - 34,Young Professionals,Male,Less than once a month,Others,No,Rarely,Keyword,Multiple pages,Very important,Maybe,Sometimes,Changed my mind or no longer need the item,Never,Yes,Moderately,Sometimes,Seldom,No,Moderately accurate,Satisfied,Wide product selection,Scrolling option would be much better than going to next page
29,25 - 34,Young Professionals,Female,Once a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Multiple times a day,Keyword,Multiple pages,Extremely important,Maybe,Often,Changed my mind or no longer need the item,Always,Yes,Heavily,Yes,Rarely,No,Moderately accurate,Neutral,User-friendly website/app interface,Product quality and accuracy
35,35 - 44,Established Professionals,Male,Once a month,Clothing and Fashion,Sometimes,Few times a week,Categories,Multiple pages,Moderately important ,Yes,Sometimes,Changed my mind or no longer need the item,Rarely,No,Rarely,Yes,Often,Yes,Moderately accurate,Neutral,Product recommendations,Product quality and accuracy
32,25 - 34,Young Professionals,Male,Less than once a month,Clothing and Fashion,No,Rarely,Keyword,Multiple pages,Not important,Maybe,Sometimes,Found a better price elsewhere,Rarely,Yes,Moderately,Yes,Sometimes,Yes,Highly accurate,Neutral,Product recommendations,Reducing packaging waste
41,35 - 44,Established Professionals,Male,Few times a month,Beauty and Personal Care;Clothing and Fashion;Others,Sometimes,Few times a week,Filter,Multiple pages,Extremely important,Yes,Often,Found a better price elsewhere,Never,No,Heavily,Yes,Very often,Yes,Mostly accurate,Satisfied,Wide product selection,Product quality and accuracy
35,35 - 44,Established Professionals,Female,Few times a month,Home and Kitchen;Others,Yes,Multiple times a day,Keyword,Multiple pages,Extremely important,Yes,Sometimes,Changed my mind or no longer need the item,Sometimes,Yes,Moderately,Yes,Often,Yes,Moderately accurate,Satisfied,Wide product selection,Product quality and accuracy
36,35 - 44,Established Professionals,Female,Few times a month,Groceries and Gourmet Food;Home and Kitchen;Others,Yes,Few times a week,Keyword,Multiple pages,Slightly important,Yes,Sometimes,Found a better price elsewhere,Often,Yes,Moderately,Sometimes,Sometimes,Yes,Mostly accurate,Most satisfied,Competitive prices,Reducing packaging waste
46,45 - 54,Midlife Adults,Female,Once a week,Others,No,Few times a week,Keyword,Multiple pages,Not important,Yes,Often,Found a better price elsewhere,Often,No,Moderately,Yes,Rarely,Sometimes,Moderately accurate,Dissatisfied,Wide product selection,Customer service responsiveness
39,35 - 44,Established Professionals,Female,Few times a month,Home and Kitchen,Sometimes,Few times a week,Filter,First page,Very important,Yes,Sometimes,Changed my mind or no longer need the item,Sometimes,No,Rarely,No,Very often,Sometimes,Mostly accurate,Neutral,Wide product selection,Customer service responsiveness
48,45 - 54,Midlife Adults,Male,Few times a month,Beauty and Personal Care,Yes,Few times a week,Filter,Multiple pages,Extremely important,Yes,Often,Changed my mind or no longer need the item,Often,Yes,Occasionally,Yes,Often,Yes,Mostly accurate,Most satisfied,Wide product selection,Customer service responsiveness
